county,city,office,district,candidate,party,votes
Cumberland,SCARBOROUGH,President,,Gary Johnson,LBT,116
Cumberland,SEBAGO,President,,Gary Johnson,LBT,13
Cumberland,SOUTH PORTLAND,President,,Gary Johnson,LBT,152
Cumberland,STANDISH,President,,Gary Johnson,LBT,57
Cumberland,WESTBROOK,President,,Gary Johnson,LBT,126
Cumberland,WINDHAM,President,,Gary Johnson,LBT,139
Cumberland,YARMOUTH,President,,Gary Johnson,LBT,47
Franklin,AVON,President,,Gary Johnson,LBT,2
Franklin,CARRABASSETT VALLEY,President,,Gary Johnson,LBT,12
Franklin,CARTHAGE,President,,Gary Johnson,LBT,4
Franklin,CHESTERVILLE,President,,Gary Johnson,LBT,6
Franklin,COPLIN PLT,President,,Gary Johnson,LBT,0
Franklin,DALLAS PLT,President,,Gary Johnson,LBT,1
Franklin,EUSTIS,President,,Gary Johnson,LBT,11
Franklin,EUSTIS FRA TWPS ,President,,Gary Johnson,LBT,0
Franklin,FARMINGTON,President,,Gary Johnson,LBT,94
Franklin,FREEMAN TWP ,President,,Gary Johnson,LBT,6
Franklin,INDUSTRY,President,,Gary Johnson,LBT,7
Franklin,JAY,President,,Gary Johnson,LBT,41
Franklin,KINGFIELD,President,,Gary Johnson,LBT,19
Franklin,LANG TWP ,President,,Gary Johnson,LBT,0
Franklin,MADRID TWP ,President,,Gary Johnson,LBT,0
Franklin,NEW SHARON,President,,Gary Johnson,LBT,7
Franklin,NEW VINEYARD,President,,Gary Johnson,LBT,3
Franklin,PHILLIPS,President,,Gary Johnson,LBT,7
Franklin,RANGELEY,President,,Gary Johnson,LBT,7
Franklin,RANGELEY OXF TWPS ,President,,Gary Johnson,LBT,0
Franklin,RANGELEY PLT,President,,Gary Johnson,LBT,1
Franklin,SANDY RIVER PLT,President,,Gary Johnson,LBT,0
Franklin,STRONG,President,,Gary Johnson,LBT,11
Franklin,TEMPLE,President,,Gary Johnson,LBT,3
Franklin,WELD,President,,Gary Johnson,LBT,5
Franklin,WELD TWPS ,President,,Gary Johnson,LBT,0
Franklin,WILTON,President,,Gary Johnson,LBT,31
Franklin,WILTON TWPS ,President,,Gary Johnson,LBT,2
Hancock,AMHERST,President,,Gary Johnson,LBT,2
Hancock,AURORA,President,,Gary Johnson,LBT,3
Hancock,AURORA TWPS ,President,,Gary Johnson,LBT,0
Hancock,BAR HARBOR,President,,Gary Johnson,LBT,38
Hancock,BLUE HILL,President,,Gary Johnson,LBT,22
Hancock,BROOKLIN,President,,Gary Johnson,LBT,2
Hancock,BROOKSVILLE,President,,Gary Johnson,LBT,7
Hancock,BUCKSPORT,President,,Gary Johnson,LBT,28
Hancock,CASTINE,President,,Gary Johnson,LBT,10
Hancock,CRANBERRY ISLES,President,,Gary Johnson,LBT,2
Hancock,DEDHAM,President,,Gary Johnson,LBT,15
Hancock,DEER ISLE,President,,Gary Johnson,LBT,4
Hancock,EASTBROOK,President,,Gary Johnson,LBT,5
Hancock,ELLSWORTH,President,,Gary Johnson,LBT,79
Hancock,FLETCHERS LANDING TWP (T8 SD) ,President,,Gary Johnson,LBT,0
Hancock,FRANKLIN,President,,Gary Johnson,LBT,10
Hancock,FRANKLIN TWPS ,President,,Gary Johnson,LBT,0
Hancock,FRENCHBORO,President,,Gary Johnson,LBT,0
Hancock,GOULDSBORO,President,,Gary Johnson,LBT,16
Hancock,GREAT POND,President,,Gary Johnson,LBT,0
Hancock,GREAT POND TWPS ,President,,Gary Johnson,LBT,0
Hancock,HANCOCK,President,,Gary Johnson,LBT,18
Hancock,LAMOINE,President,,Gary Johnson,LBT,13
Hancock,MARIAVILLE,President,,Gary Johnson,LBT,6
Hancock,MOUNT DESERT,President,,Gary Johnson,LBT,15
Hancock,ORLAND,President,,Gary Johnson,LBT,17
Hancock,OSBORN,President,,Gary Johnson,LBT,0
Hancock,OTIS,President,,Gary Johnson,LBT,1
Hancock,PENOBSCOT,President,,Gary Johnson,LBT,13
Hancock,SEDGWICK,President,,Gary Johnson,LBT,7
Hancock,SORRENTO,President,,Gary Johnson,LBT,7
Hancock,SOUTHWEST HARBOR,President,,Gary Johnson,LBT,11
Hancock,STONINGTON,President,,Gary Johnson,LBT,8
Hancock,SULLIVAN,President,,Gary Johnson,LBT,14
Hancock,SURRY,President,,Gary Johnson,LBT,11
Hancock,SWANS ISLAND,President,,Gary Johnson,LBT,3
Hancock,T3 ND ,President,,Gary Johnson,LBT,0
Hancock,T7 SD ,President,,Gary Johnson,LBT,0
Hancock,TREMONT,President,,Gary Johnson,LBT,14
Hancock,TRENTON,President,,Gary Johnson,LBT,6
Hancock,VERONA ISLAND,President,,Gary Johnson,LBT,5
Hancock,WALTHAM,President,,Gary Johnson,LBT,1
Hancock,WINTER HARBOR,President,,Gary Johnson,LBT,10
Kennebec,ALBION,President,,Gary Johnson,LBT,20
Kennebec,AUGUSTA,President,,Gary Johnson,LBT,133
Kennebec,BELGRADE,President,,Gary Johnson,LBT,16
Kennebec,BENTON,President,,Gary Johnson,LBT,17
Kennebec,CHELSEA,President,,Gary Johnson,LBT,15
Kennebec,CHINA,President,,Gary Johnson,LBT,25
Kennebec,CLINTON,President,,Gary Johnson,LBT,16
Kennebec,FARMINGDALE,President,,Gary Johnson,LBT,13
Kennebec,FAYETTE,President,,Gary Johnson,LBT,7
Kennebec,GARDINER,President,,Gary Johnson,LBT,60
Kennebec,HALLOWELL,President,,Gary Johnson,LBT,20
Kennebec,LITCHFIELD,President,,Gary Johnson,LBT,43
Kennebec,MANCHESTER,President,,Gary Johnson,LBT,16
Kennebec,MONMOUTH,President,,Gary Johnson,LBT,43
Kennebec,MOUNT VERNON,President,,Gary Johnson,LBT,20
Kennebec,OAKLAND,President,,Gary Johnson,LBT,44
Kennebec,PITTSTON,President,,Gary Johnson,LBT,23
Kennebec,RANDOLPH,President,,Gary Johnson,LBT,15
Kennebec,READFIELD,President,,Gary Johnson,LBT,18
Kennebec,ROME,President,,Gary Johnson,LBT,8
Kennebec,SIDNEY,President,,Gary Johnson,LBT,29
Kennebec,VASSALBORO,President,,Gary Johnson,LBT,35
Kennebec,VIENNA,President,,Gary Johnson,LBT,3
Kennebec,WATERVILLE,President,,Gary Johnson,LBT,109
Kennebec,WAYNE,President,,Gary Johnson,LBT,3
Kennebec,WEST GARDINER,President,,Gary Johnson,LBT,30
Kennebec,WINDSOR,President,,Gary Johnson,LBT,22
Kennebec,WINSLOW,President,,Gary Johnson,LBT,56
Kennebec,WINTHROP,President,,Gary Johnson,LBT,49
Knox,APPLETON,President,,Gary Johnson,LBT,12
Knox,CAMDEN,President,,Gary Johnson,LBT,23
Knox,CRIEHAVEN TWP ,President,,Gary Johnson,LBT,0
Knox,CUSHING,President,,Gary Johnson,LBT,6
Knox,FRIENDSHIP,President,,Gary Johnson,LBT,8
Knox,HOPE,President,,Gary Johnson,LBT,13
Knox,ISLE AU HAUT,President,,Gary Johnson,LBT,2
Knox,MATINICUS ISLE PLT,President,,Gary Johnson,LBT,0
Knox,NORTH HAVEN,President,,Gary Johnson,LBT,5
Knox,OWLS HEAD,President,,Gary Johnson,LBT,7
Knox,ROCKLAND,President,,Gary Johnson,LBT,48
Knox,ROCKPORT,President,,Gary Johnson,LBT,20
Knox,SAINT GEORGE,President,,Gary Johnson,LBT,23
Knox,SOUTH THOMASTON,President,,Gary Johnson,LBT,8
Knox,THOMASTON,President,,Gary Johnson,LBT,16
Knox,UNION,President,,Gary Johnson,LBT,23
Knox,VINALHAVEN,President,,Gary Johnson,LBT,9
Knox,WARREN,President,,Gary Johnson,LBT,31
Knox,WASHINGTON,President,,Gary Johnson,LBT,21
Lincoln,ALNA,President,,Gary Johnson,LBT,3
Lincoln,BOOTHBAY,President,,Gary Johnson,LBT,22
Lincoln,BOOTHBAY HARBOR,President,,Gary Johnson,LBT,14
Lincoln,BREMEN,President,,Gary Johnson,LBT,3
Lincoln,BRISTOL,President,,Gary Johnson,LBT,14
Lincoln,DAMARISCOTTA,President,,Gary Johnson,LBT,19
Lincoln,DRESDEN,President,,Gary Johnson,LBT,22
Lincoln,EDGECOMB,President,,Gary Johnson,LBT,10
Lincoln,JEFFERSON,President,,Gary Johnson,LBT,13
Lincoln,MONHEGAN PLT,President,,Gary Johnson,LBT,0
Lincoln,NEWCASTLE,President,,Gary Johnson,LBT,14
Lincoln,NOBLEBORO,President,,Gary Johnson,LBT,10
Lincoln,SOMERVILLE,President,,Gary Johnson,LBT,6
Lincoln,SOUTH BRISTOL,President,,Gary Johnson,LBT,12
Lincoln,SOUTHPORT,President,,Gary Johnson,LBT,0
Lincoln,WALDOBORO,President,,Gary Johnson,LBT,44
Lincoln,WESTPORT ISLAND,President,,Gary Johnson,LBT,7
Lincoln,WHITEFIELD,President,,Gary Johnson,LBT,14
Lincoln,WISCASSET,President,,Gary Johnson,LBT,27
Oxford,ALBANY TWP,President,,Gary Johnson,LBT,8
Oxford,ANDOVER,President,,Gary Johnson,LBT,19
Oxford,ANDOVER TWPS ,President,,Gary Johnson,LBT,0
Oxford,BETHEL,President,,Gary Johnson,LBT,25
Oxford,BROWNFIELD,President,,Gary Johnson,LBT,7
Oxford,BUCKFIELD,President,,Gary Johnson,LBT,18
Oxford,BYRON,President,,Gary Johnson,LBT,1
Oxford,CANTON,President,,Gary Johnson,LBT,11
Oxford,DENMARK,President,,Gary Johnson,LBT,14
Oxford,DIXFIELD,President,,Gary Johnson,LBT,21
Oxford,FRYEBURG,President,,Gary Johnson,LBT,33
Oxford,GILEAD,President,,Gary Johnson,LBT,5
Oxford,GREENWOOD,President,,Gary Johnson,LBT,7
Oxford,HANOVER,President,,Gary Johnson,LBT,3
Oxford,HARTFORD,President,,Gary Johnson,LBT,14
Oxford,HEBRON,President,,Gary Johnson,LBT,16
Oxford,HIRAM,President,,Gary Johnson,LBT,12
Oxford,LINCOLN PLT,President,,Gary Johnson,LBT,0
Oxford,LOVELL,President,,Gary Johnson,LBT,9
Oxford,MAGALLOWAY PLT,President,,Gary Johnson,LBT,0
Oxford,MEXICO,President,,Gary Johnson,LBT,33
Oxford,MILTON TWP ,President,,Gary Johnson,LBT,1
Oxford,NEWRY,President,,Gary Johnson,LBT,3
Oxford,NORWAY,President,,Gary Johnson,LBT,34
Oxford,OTISFIELD,President,,Gary Johnson,LBT,15
Oxford,OXFORD,President,,Gary Johnson,LBT,17
Oxford,PARIS,President,,Gary Johnson,LBT,41
Oxford,PERU,President,,Gary Johnson,LBT,11
Oxford,PORTER,President,,Gary Johnson,LBT,11
Oxford,ROXBURY,President,,Gary Johnson,LBT,2
Oxford,RUMFORD,President,,Gary Johnson,LBT,44
Oxford,STONEHAM,President,,Gary Johnson,LBT,3
Oxford,STOW,President,,Gary Johnson,LBT,1
Oxford,SUMNER,President,,Gary Johnson,LBT,8
Oxford,SWEDEN,President,,Gary Johnson,LBT,3
Oxford,UPTON,President,,Gary Johnson,LBT,1
Oxford,WATERFORD,President,,Gary Johnson,LBT,34
Oxford,WEST PARIS,President,,Gary Johnson,LBT,12
Oxford,WOODSTOCK,President,,Gary Johnson,LBT,8
Penobscot,ALTON,President,,Gary Johnson,LBT,7
Penobscot,ARGYLE TWP ,President,,Gary Johnson,LBT,1
Penobscot,BANGOR,President,,Gary Johnson,LBT,204
Penobscot,BRADFORD,President,,Gary Johnson,LBT,4
Penobscot,BRADLEY,President,,Gary Johnson,LBT,8
Penobscot,BREWER,President,,Gary Johnson,LBT,48
Penobscot,BURLINGTON,President,,Gary Johnson,LBT,3
Penobscot,CARMEL,President,,Gary Johnson,LBT,15
Penobscot,CARROLL PLT,President,,Gary Johnson,LBT,2
Penobscot,CHARLESTON,President,,Gary Johnson,LBT,8
Penobscot,CHESTER,President,,Gary Johnson,LBT,4
Penobscot,CLIFTON,President,,Gary Johnson,LBT,6
Penobscot,CORINNA,President,,Gary Johnson,LBT,12
Penobscot,CORINTH,President,,Gary Johnson,LBT,16
Penobscot,DEXTER,President,,Gary Johnson,LBT,17
Penobscot,DIXMONT,President,,Gary Johnson,LBT,5
Penobscot,DREW PLT,President,,Gary Johnson,LBT,0
Penobscot,EAST MILLINOCKET,President,,Gary Johnson,LBT,15
Penobscot,EAST MILLINOCKET ARO TWPS ,President,,Gary Johnson,LBT,0
Penobscot,EAST MILLINOCKET PEN TWPS ,President,,Gary Johnson,LBT,0
Penobscot,EDDINGTON,President,,Gary Johnson,LBT,16
Penobscot,EDINBURG,President,,Gary Johnson,LBT,0
Penobscot,ENFIELD,President,,Gary Johnson,LBT,12
Penobscot,ETNA,President,,Gary Johnson,LBT,4
Penobscot,EXETER,President,,Gary Johnson,LBT,4
Penobscot,GARLAND,President,,Gary Johnson,LBT,9
Penobscot,GLENBURN,President,,Gary Johnson,LBT,17
Penobscot,GREENBUSH,President,,Gary Johnson,LBT,8
Penobscot,GREENFIELD TWP ,President,,Gary Johnson,LBT,3
Penobscot,HAMPDEN,President,,Gary Johnson,LBT,30
Penobscot,HERMON,President,,Gary Johnson,LBT,22
Penobscot,HOLDEN,President,,Gary Johnson,LBT,20
Penobscot,HOWLAND,President,,Gary Johnson,LBT,5
Penobscot,HUDSON,President,,Gary Johnson,LBT,10
Penobscot,KENDUSKEAG,President,,Gary Johnson,LBT,5
Penobscot,KINGMAN TWP,President,,Gary Johnson,LBT,0
Penobscot,LAGRANGE,President,,Gary Johnson,LBT,3
Penobscot,LAKEVILLE,President,,Gary Johnson,LBT,1
Penobscot,LEE,President,,Gary Johnson,LBT,0
Penobscot,LEVANT,President,,Gary Johnson,LBT,24
Penobscot,LINCOLN,President,,Gary Johnson,LBT,31
Penobscot,LOWELL,President,,Gary Johnson,LBT,2
Penobscot,MATTAMISCONTIS TWP ,President,,Gary Johnson,LBT,0
Penobscot,MATTAWAMKEAG,President,,Gary Johnson,LBT,8
Penobscot,MATTAWAMKEAG TWPS ,President,,Gary Johnson,LBT,0
Penobscot,MAXFIELD,President,,Gary Johnson,LBT,0
Penobscot,MEDWAY,President,,Gary Johnson,LBT,10
Penobscot,MEDWAY ARO TWPS ,President,,Gary Johnson,LBT,0
Penobscot,MEDWAY PEN TWPS ,President,,Gary Johnson,LBT,1
Penobscot,MILFORD,President,,Gary Johnson,LBT,17
Penobscot,MILLINOCKET,President,,Gary Johnson,LBT,28
Penobscot,MILLINOCKET PEN TWPS ,President,,Gary Johnson,LBT,1
Penobscot,MILLINOCKET PIS TWPS ,President,,Gary Johnson,LBT,0
Penobscot,MOUNT CHASE,President,,Gary Johnson,LBT,2
Penobscot,NEWBURGH,President,,Gary Johnson,LBT,7
Penobscot,NEWPORT,President,,Gary Johnson,LBT,26
Penobscot,OLD TOWN,President,,Gary Johnson,LBT,73
Penobscot,ORONO,President,,Gary Johnson,LBT,129
Penobscot,ORRINGTON,President,,Gary Johnson,LBT,30
Penobscot,PASSADUMKEAG,President,,Gary Johnson,LBT,0
Penobscot,PATTEN,President,,Gary Johnson,LBT,2
Penobscot,PENOB NAT VOTING DIS,President,,Gary Johnson,LBT,1
Penobscot,PLYMOUTH,President,,Gary Johnson,LBT,9
Penobscot,PRENTISS TWP,President,,Gary Johnson,LBT,2
Penobscot,SEBOEIS PLT,President,,Gary Johnson,LBT,0
Penobscot,SPRINGFIELD,President,,Gary Johnson,LBT,2
Penobscot,STACYVILLE,President,,Gary Johnson,LBT,2
Penobscot,STETSON,President,,Gary Johnson,LBT,6
Penobscot,VEAZIE,President,,Gary Johnson,LBT,10
Penobscot,WEBSTER PLT,President,,Gary Johnson,LBT,0
Penobscot,WINN,President,,Gary Johnson,LBT,0
Penobscot,WOODVILLE,President,,Gary Johnson,LBT,1
Piscataquis,ABBOT,President,,Gary Johnson,LBT,6
Piscataquis,ATKINSON,President,,Gary Johnson,LBT,2
Piscataquis,BEAVER COVE,President,,Gary Johnson,LBT,1
Piscataquis,BEAVER COVE TWPS ,President,,Gary Johnson,LBT,0
Piscataquis,BOWERBANK,President,,Gary Johnson,LBT,0
Piscataquis,BROWNVILLE,President,,Gary Johnson,LBT,7
Piscataquis,DOVER-FOXCROFT,President,,Gary Johnson,LBT,30
Piscataquis,ELLIOTTSVILLE TWP ,President,,Gary Johnson,LBT,0
Piscataquis,GREENVILLE,President,,Gary Johnson,LBT,12
Piscataquis,GREENVILLE PIS TWPS ,President,,Gary Johnson,LBT,0
Piscataquis,GUILFORD,President,,Gary Johnson,LBT,17
Piscataquis,LAKE VIEW PLT,President,,Gary Johnson,LBT,0
Piscataquis,MEDFORD,President,,Gary Johnson,LBT,4
Piscataquis,MILO,President,,Gary Johnson,LBT,19
Piscataquis,MONSON,President,,Gary Johnson,LBT,11
Piscataquis,ORNEVILLE TWP ,President,,Gary Johnson,LBT,0
Piscataquis,PARKMAN,President,,Gary Johnson,LBT,10
Piscataquis,SANGERVILLE,President,,Gary Johnson,LBT,4
Piscataquis,SEBEC,President,,Gary Johnson,LBT,9
Piscataquis,SHIRLEY,President,,Gary Johnson,LBT,1
Piscataquis,WELLINGTON,President,,Gary Johnson,LBT,1
Piscataquis,WILLIMANTIC,President,,Gary Johnson,LBT,1
Sagadahoc,ARROWSIC,President,,Gary Johnson,LBT,3
Sagadahoc,BATH,President,,Gary Johnson,LBT,67
Sagadahoc,BOWDOIN,President,,Gary Johnson,LBT,20
Sagadahoc,BOWDOINHAM,President,,Gary Johnson,LBT,16
Sagadahoc,GEORGETOWN,President,,Gary Johnson,LBT,5
Sagadahoc,PHIPPSBURG,President,,Gary Johnson,LBT,13
Sagadahoc,RICHMOND,President,,Gary Johnson,LBT,26
Sagadahoc,TOPSHAM,President,,Gary Johnson,LBT,60
Sagadahoc,WEST BATH,President,,Gary Johnson,LBT,9
Sagadahoc,WOOLWICH,President,,Gary Johnson,LBT,28
Somerset,ANSON,President,,Gary Johnson,LBT,14
Somerset,ATHENS,President,,Gary Johnson,LBT,8
Somerset,BINGHAM,President,,Gary Johnson,LBT,6
Somerset,BRIGHTON PLT,President,,Gary Johnson,LBT,1
Somerset,CAMBRIDGE,President,,Gary Johnson,LBT,3
Somerset,CANAAN,President,,Gary Johnson,LBT,13
Somerset,CARATUNK,President,,Gary Johnson,LBT,0
Somerset,CONCORD TWP ,President,,Gary Johnson,LBT,0
Somerset,CORNVILLE,President,,Gary Johnson,LBT,6
Somerset,DENNISTOWN PLT,President,,Gary Johnson,LBT,0
Somerset,DETROIT,President,,Gary Johnson,LBT,2
Somerset,EMBDEN,President,,Gary Johnson,LBT,8
Somerset,FAIRFIELD,President,,Gary Johnson,LBT,47
Somerset,HARMONY,President,,Gary Johnson,LBT,1
Somerset,HARTLAND,President,,Gary Johnson,LBT,11
Somerset,HIGHLAND PLT,President,,Gary Johnson,LBT,3
Somerset,HIGHLAND SOM TWPS ,President,,Gary Johnson,LBT,0
Somerset,JACKMAN,President,,Gary Johnson,LBT,15
Somerset,MADISON,President,,Gary Johnson,LBT,27
Somerset,MERCER,President,,Gary Johnson,LBT,8
Somerset,MOOSE RIVER,President,,Gary Johnson,LBT,2
Somerset,MOSCOW,President,,Gary Johnson,LBT,0
Somerset,NEW PORTLAND,President,,Gary Johnson,LBT,10
Somerset,NORRIDGEWOCK,President,,Gary Johnson,LBT,26
Somerset,PALMYRA,President,,Gary Johnson,LBT,14
Somerset,PITTSFIELD,President,,Gary Johnson,LBT,14
Somerset,PLEASANT RIDGE PLT,President,,Gary Johnson,LBT,0
Somerset,RIPLEY,President,,Gary Johnson,LBT,6
Somerset,ROCKWOOD TWP,President,,Gary Johnson,LBT,3
Somerset,SKOWHEGAN,President,,Gary Johnson,LBT,54
Somerset,SMITHFIELD,President,,Gary Johnson,LBT,5
Somerset,SOLON,President,,Gary Johnson,LBT,7
Somerset,SPRING LAKE ,President,,Gary Johnson,LBT,1
Somerset,ST ALBANS,President,,Gary Johnson,LBT,6
Somerset,STARKS,President,,Gary Johnson,LBT,7
Somerset,THE FORKS PLT,President,,Gary Johnson,LBT,0
Somerset,WEST FORKS PLT,President,,Gary Johnson,LBT,0
Waldo,BELFAST,President,,Gary Johnson,LBT,46
Waldo,BELMONT,President,,Gary Johnson,LBT,6
Waldo,BROOKS,President,,Gary Johnson,LBT,2
Waldo,BURNHAM,President,,Gary Johnson,LBT,4
Waldo,FRANKFORT,President,,Gary Johnson,LBT,9
Waldo,FREEDOM,President,,Gary Johnson,LBT,5
Waldo,ISLESBORO,President,,Gary Johnson,LBT,0
Waldo,JACKSON,President,,Gary Johnson,LBT,13
Waldo,KNOX,President,,Gary Johnson,LBT,4
Waldo,LIBERTY,President,,Gary Johnson,LBT,8
Waldo,LINCOLNVILLE,President,,Gary Johnson,LBT,19
Waldo,MONROE,President,,Gary Johnson,LBT,7
Waldo,MONTVILLE,President,,Gary Johnson,LBT,8
Waldo,MORRILL,President,,Gary Johnson,LBT,5
Waldo,NORTHPORT,President,,Gary Johnson,LBT,5
Waldo,PALERMO,President,,Gary Johnson,LBT,9
Waldo,PROSPECT,President,,Gary Johnson,LBT,4
